DATE,FOPR,FOPT,FWIR,FWIT,FWPR,FWPT
2020-02-01,79.55490112304688,2463.9013671875,79.5,2464.5,-0.0,1.7350826908568706e-07
2020-03-01,79.54385375976562,4770.6728515625,79.5,4770.0,-0.0,1.7350826908568706e-07
2020-04-01,79.50386810302734,7235.29296875,79.5,7234.5,-0.0,1.7350826908568706e-07
2020-05-01,79.49398803710938,9620.1123046875,79.5,9619.5,-0.0,1.7350826908568706e-07
2020-06-01,79.51278686523438,12085.0087890625,79.5,12084.0,-0.0,1.7350826908568706e-07
2020-07-01,79.51525115966797,14470.466796875,79.5,14469.0,-0.0,1.7350826908568706e-07
2020-08-01,158.92752075195312,19397.21875,159.0,19398.0,2.0891108287734994e-11,1.7415590036762296e-07
2020-09-01,159.0196990966797,24326.658203125,159.0,24327.0,-0.0,1.7415590036762296e-07
2020-10-01,159.01031494140625,29096.96875,159.0,29097.0,-0.0,1.7415590036762296e-07
2020-11-01,159.00149536132812,34026.015625,159.0,34026.0,-0.0,1.7415590036762296e-07
2020-12-01,158.96832275390625,38795.0625,159.0,38796.0,-0.0,1.7415590036762296e-07
2021-01-01,159.0395965576172,43725.29296875,159.0,43725.0,-0.0,1.7415590036762296e-07
