X1,Y1,X2,Y2,Perm,COP
38,26,13,24,PERM60_ECL.INC,14407.65
43,30,2,44,PERM60_ECL.INC,14468.1
24,49,7,23,PERM60_ECL.INC,14434.1
30,27,44,40,PERM60_ECL.INC,14472.48
31,19,29,48,PERM60_ECL.INC,14479.71
33,12,8,20,PERM60_ECL.INC,14486.18
5,57,36,4,PERM60_ECL.INC,14345.59
17,46,42,12,PERM60_ECL.INC,14482.74
42,15,32,36,PERM60_ECL.INC,14468.67
38,46,22,13,PERM60_ECL.INC,14490.4
20,2,20,23,PERM60_ECL.INC,14477.17
6,48,28,18,PERM60_ECL.INC,14445.38
46,2,11,37,PERM60_ECL.INC,14484.15
27,51,24,34,PERM60_ECL.INC,14446.07
31,34,3,48,PERM60_ECL.INC,14471.39
23,47,8,47,PERM60_ECL.INC,14433.32
56,6,31,41,PERM60_ECL.INC,14431.5
13,42,24,15,PERM60_ECL.INC,14497.73
0,22,29,18,PERM60_ECL.INC,0
0,33,29,6,PERM60_ECL.INC,14439.7
38,35,25,1,PERM60_ECL.INC,14469.46
32,10,52,25,PERM60_ECL.INC,14483.15
23,31,50,31,PERM60_ECL.INC,14487.88
11,28,6,21,PERM60_ECL.INC,14142.82
36,16,20,26,PERM60_ECL.INC,14488.29
36,22,2,15,PERM60_ECL.INC,14356.76
11,15,54,13,PERM60_ECL.INC,14436.62
8,26,16,47,PERM60_ECL.INC,14487.52
9,12,6,49,PERM60_ECL.INC,14478.9
17,50,18,24,PERM60_ECL.INC,14477.01
1,42,15,14,PERM60_ECL.INC,14451.65
19,34,30,43,PERM60_ECL.INC,14217.52
23,43,12,18,PERM60_ECL.INC,14476.69
17,15,12,33,PERM60_ECL.INC,14481.09
22,44,19,41,PERM60_ECL.INC,9108.368
49,12,37,17,PERM60_ECL.INC,14470.85
8,28,5,9,PERM60_ECL.INC,14503.76
6,52,29,48,PERM60_ECL.INC,14449.94
3,45,24,39,PERM60_ECL.INC,14494.75
22,37,12,24,PERM60_ECL.INC,14487.72
23,9,33,43,PERM60_ECL.INC,14491.46
43,37,27,8,PERM60_ECL.INC,14476.25
23,10,16,14,PERM60_ECL.INC,14421.71
43,16,15,17,PERM60_ECL.INC,14410.91
5,44,6,7,PERM60_ECL.INC,14491.87
30,17,49,26,PERM60_ECL.INC,14500.99
48,34,9,48,PERM60_ECL.INC,12080.32
43,40,13,7,PERM60_ECL.INC,14469.5
27,9,17,51,PERM60_ECL.INC,14488.33
42,44,43,5,PERM60_ECL.INC,14428.14
26,37,49,21,PERM60_ECL.INC,14494.04
54,21,15,57,PERM60_ECL.INC,11763.4
32,31,6,45,PERM60_ECL.INC,14471.76
12,56,13,34,PERM60_ECL.INC,14227.01
40,14,22,21,PERM60_ECL.INC,14463.41
19,23,43,12,PERM60_ECL.INC,14477.1
12,18,31,13,PERM60_ECL.INC,14485.02
27,11,53,13,PERM60_ECL.INC,14497.06
36,25,40,32,PERM60_ECL.INC,14477.02
17,52,10,55,PERM60_ECL.INC,14158.19
4,57,25,35,PERM60_ECL.INC,14397.34
32,27,35,36,PERM60_ECL.INC,14476.53
3,56,11,41,PERM60_ECL.INC,14408.43
29,49,26,18,PERM60_ECL.INC,14420.04
6,19,14,19,PERM60_ECL.INC,14320.85
10,6,23,49,PERM60_ECL.INC,14465.86
46,9,3,40,PERM60_ECL.INC,14487.03
3,40,50,12,PERM60_ECL.INC,14461.12
51,29,35,38,PERM60_ECL.INC,14496.06
30,4,2,23,PERM60_ECL.INC,14482.03
4,24,58,4,PERM60_ECL.INC,12675
23,36,58,8,PERM60_ECL.INC,14493.99
12,29,44,9,PERM60_ECL.INC,14465.53
26,38,29,38,PERM60_ECL.INC,10720.05
25,11,6,25,PERM60_ECL.INC,14504.53
19,6,40,13,PERM60_ECL.INC,14497.38
30,25,6,32,PERM60_ECL.INC,14454.61
39,40,33,5,PERM60_ECL.INC,14480.23
40,23,21,25,PERM60_ECL.INC,14478.6
36,20,43,42,PERM60_ECL.INC,14491.92
46,1,30,24,PERM60_ECL.INC,14468.34
11,39,29,48,PERM60_ECL.INC,14502.41
10,27,28,5,PERM60_ECL.INC,14480.26
31,51,49,29,PERM60_ECL.INC,14427.62
46,18,33,48,PERM60_ECL.INC,14497.36
19,8,44,13,PERM60_ECL.INC,14499.87
32,31,11,12,PERM60_ECL.INC,14457.41
8,50,48,29,PERM60_ECL.INC,14451.28
8,57,49,33,PERM60_ECL.INC,14463.98
35,15,0,34,PERM60_ECL.INC,14476.18
8,19,36,44,PERM60_ECL.INC,14481.47
48,10,36,5,PERM60_ECL.INC,14476.77
38,10,6,17,PERM60_ECL.INC,14479.02
38,30,2,48,PERM60_ECL.INC,14443.39
0,34,13,51,PERM60_ECL.INC,14461.8
30,51,16,4,PERM60_ECL.INC,14444.09
22,54,11,38,PERM60_ECL.INC,14492.36
13,9,46,8,PERM60_ECL.INC,14479.17
41,18,11,53,PERM60_ECL.INC,14492.62
18,4,21,31,PERM60_ECL.INC,14461.41
29,30,32,35,PERM60_ECL.INC,13549.43
49,12,23,28,PERM60_ECL.INC,14464.8
44,35,20,13,PERM60_ECL.INC,14445.74
52,9,43,33,PERM60_ECL.INC,14432.06
13,5,38,37,PERM60_ECL.INC,14439.66
4,52,27,13,PERM60_ECL.INC,14458.38
5,16,6,48,PERM60_ECL.INC,14495.79
29,48,19,27,PERM60_ECL.INC,14451.07
45,14,20,24,PERM60_ECL.INC,14495.55
31,29,36,44,PERM60_ECL.INC,14481.77
6,30,15,26,PERM60_ECL.INC,14478.32
8,20,25,36,PERM60_ECL.INC,14480.47
17,50,45,22,PERM60_ECL.INC,14472.75
38,15,19,28,PERM60_ECL.INC,14479.91
32,48,8,16,PERM60_ECL.INC,14473.01
2,20,26,31,PERM60_ECL.INC,14451.64
2,28,1,38,PERM60_ECL.INC,14465.78
31,27,28,46,PERM60_ECL.INC,14476.79
28,27,8,29,PERM60_ECL.INC,14489.36
18,56,31,37,PERM60_ECL.INC,14464.4
4,56,18,8,PERM60_ECL.INC,13731.12
27,8,33,10,PERM60_ECL.INC,14097.83
2,45,49,28,PERM60_ECL.INC,14482.54
35,39,43,30,PERM60_ECL.INC,14484.41
3,16,12,10,PERM60_ECL.INC,14485.36
39,46,41,45,PERM60_ECL.INC,2892.677
13,17,33,45,PERM60_ECL.INC,14471.63
17,56,10,13,PERM60_ECL.INC,14466.58
28,1,36,3,PERM60_ECL.INC,14479.92
40,27,28,15,PERM60_ECL.INC,14470.89
55,18,3,25,PERM60_ECL.INC,14437.37
21,41,45,31,PERM60_ECL.INC,14499.09
28,14,15,42,PERM60_ECL.INC,14497.15
40,20,50,32,PERM60_ECL.INC,14500.69
40,18,42,8,PERM60_ECL.INC,14502.92
43,17,3,32,PERM60_ECL.INC,14479.73
47,15,10,15,PERM60_ECL.INC,14486.46
17,33,55,3,PERM60_ECL.INC,13952.74
38,9,11,46,PERM60_ECL.INC,14297.57
36,21,12,19,PERM60_ECL.INC,14482.92
18,10,2,16,PERM60_ECL.INC,14416.4
19,53,35,50,PERM60_ECL.INC,49.18559
37,45,15,15,PERM60_ECL.INC,14491.2
8,50,15,29,PERM60_ECL.INC,14440.76
22,11,28,1,PERM60_ECL.INC,14489.01
16,28,46,10,PERM60_ECL.INC,14475.56
36,23,31,22,PERM60_ECL.INC,12539.83
25,13,34,47,PERM60_ECL.INC,14504.09
22,34,3,35,PERM60_ECL.INC,14487.05
2,39,25,53,PERM60_ECL.INC,14462.97
39,46,6,56,PERM60_ECL.INC,14490.41
41,32,45,21,PERM60_ECL.INC,14469.85
20,6,7,39,PERM60_ECL.INC,14494.68
25,4,11,3,PERM60_ECL.INC,49.21109
34,16,45,23,PERM60_ECL.INC,14500.74
35,28,42,10,PERM60_ECL.INC,14431.92
23,29,5,34,PERM60_ECL.INC,14466.76
7,39,16,54,PERM60_ECL.INC,14505.26
0,39,10,57,PERM60_ECL.INC,14438.92
25,11,10,42,PERM60_ECL.INC,14502.56
9,39,5,26,PERM60_ECL.INC,14495.27
37,2,46,9,PERM60_ECL.INC,14471.66
35,30,0,37,PERM60_ECL.INC,14441.11
2,40,5,47,PERM60_ECL.INC,13239.71
18,44,17,36,PERM60_ECL.INC,14483.49
39,21,37,28,PERM60_ECL.INC,14296.25
35,45,43,20,PERM60_ECL.INC,14485.84
26,14,44,25,PERM60_ECL.INC,14506.43
17,4,42,17,PERM60_ECL.INC,14492.09
40,39,27,42,PERM60_ECL.INC,14478.03
59,9,31,27,PERM60_ECL.INC,14413.44
54,20,45,24,PERM60_ECL.INC,14450.53
12,42,42,15,PERM60_ECL.INC,14491.97
14,21,21,35,PERM60_ECL.INC,14469.05
17,20,35,21,PERM60_ECL.INC,14476.81
23,25,53,5,PERM60_ECL.INC,14492.02
21,14,51,18,PERM60_ECL.INC,14427.12
46,10,18,26,PERM60_ECL.INC,14481.9
55,11,14,10,PERM60_ECL.INC,14415.42
54,9,19,37,PERM60_ECL.INC,14377.94
19,36,7,25,PERM60_ECL.INC,14446.73
43,11,18,8,PERM60_ECL.INC,14480.15
31,31,4,57,PERM60_ECL.INC,12262.81
26,7,24,36,PERM60_ECL.INC,14497.86
5,40,10,32,PERM60_ECL.INC,13721.44
21,22,46,35,PERM60_ECL.INC,14465.6
39,39,17,16,PERM60_ECL.INC,14470.52
22,46,49,35,PERM60_ECL.INC,13052.04
6,56,28,21,PERM60_ECL.INC,14445.6
21,25,29,2,PERM60_ECL.INC,14476.13
36,1,17,36,PERM60_ECL.INC,14315.22
6,59,41,31,PERM60_ECL.INC,14316.57
53,18,7,24,PERM60_ECL.INC,14462.75
12,27,31,49,PERM60_ECL.INC,14471.65
31,6,17,45,PERM60_ECL.INC,14467.97
38,38,37,18,PERM60_ECL.INC,14465.05
34,10,14,13,PERM60_ECL.INC,14458.41
14,53,21,42,PERM60_ECL.INC,14462.88
38,21,7,6,PERM60_ECL.INC,14484.57
57,10,37,3,PERM60_ECL.INC,14453.35
12,13,57,3,PERM60_ECL.INC,49.20002
4,25,13,55,PERM60_ECL.INC,14473.07
25,6,38,14,PERM60_ECL.INC,14500.34
39,8,32,41,PERM60_ECL.INC,14479.4
25,46,30,11,PERM60_ECL.INC,14465.33
34,36,37,10,PERM60_ECL.INC,14480.09
20,29,45,6,PERM60_ECL.INC,14458.96
5,51,14,10,PERM60_ECL.INC,14454.79
36,45,15,18,PERM60_ECL.INC,14444.39
8,19,16,7,PERM60_ECL.INC,14486.01
41,23,30,2,PERM60_ECL.INC,14479.1
33,22,50,24,PERM60_ECL.INC,14477.21
42,29,32,24,PERM60_ECL.INC,14469.35
32,24,57,18,PERM60_ECL.INC,12101.19
45,27,41,26,PERM60_ECL.INC,10552.84
42,22,11,4,PERM60_ECL.INC,14348.4
17,11,24,21,PERM60_ECL.INC,14475.3
51,23,37,30,PERM60_ECL.INC,14486.06
57,11,41,31,PERM60_ECL.INC,14438.75
27,2,13,25,PERM60_ECL.INC,14495.85
23,52,48,2,PERM60_ECL.INC,14462.1
12,3,27,36,PERM60_ECL.INC,14417.41
22,5,19,23,PERM60_ECL.INC,14476.59
30,41,48,23,PERM60_ECL.INC,14481.62
7,53,33,39,PERM60_ECL.INC,14421.3
50,6,1,36,PERM60_ECL.INC,14426.97
38,36,6,39,PERM60_ECL.INC,14471.94
32,46,27,24,PERM60_ECL.INC,14472.36
49,22,27,54,PERM60_ECL.INC,14291.7
29,31,36,11,PERM60_ECL.INC,14483.49
19,42,26,49,PERM60_ECL.INC,14504.78
8,12,34,8,PERM60_ECL.INC,14442.53
58,12,48,20,PERM60_ECL.INC,14460.63
27,16,44,11,PERM60_ECL.INC,14500.53
41,43,56,15,PERM60_ECL.INC,13815.44
23,55,13,32,PERM60_ECL.INC,14457.89
45,2,10,46,PERM60_ECL.INC,14478.45
8,48,20,15,PERM60_ECL.INC,14398.46
22,10,38,8,PERM60_ECL.INC,14501.51
44,39,4,44,PERM60_ECL.INC,14461.12
19,23,17,29,PERM60_ECL.INC,13716.83
49,26,37,4,PERM60_ECL.INC,14502.04
12,19,16,57,PERM60_ECL.INC,14337.98
4,15,47,22,PERM60_ECL.INC,14488.43
44,35,13,55,PERM60_ECL.INC,14421.4
10,34,10,44,PERM60_ECL.INC,14493.54
27,0,37,44,PERM60_ECL.INC,14490.05
14,33,44,10,PERM60_ECL.INC,14439.93
42,45,10,56,PERM60_ECL.INC,0
33,11,14,34,PERM60_ECL.INC,14469.1
16,13,45,25,PERM60_ECL.INC,14464.52
29,4,28,52,PERM60_ECL.INC,14443.28
49,13,11,55,PERM60_ECL.INC,14448.45
36,2,13,15,PERM60_ECL.INC,14471.37
31,18,9,37,PERM60_ECL.INC,14496.16
25,5,27,25,PERM60_ECL.INC,14496.73
42,4,30,37,PERM60_ECL.INC,14457.06
49,5,53,17,PERM60_ECL.INC,14473.97
52,16,26,3,PERM60_ECL.INC,14464.32
24,27,36,18,PERM60_ECL.INC,14499.3
35,9,41,38,PERM60_ECL.INC,14459.01
45,20,6,53,PERM60_ECL.INC,14454.96
39,32,40,44,PERM60_ECL.INC,14481.17
5,57,12,21,PERM60_ECL.INC,14429.65
16,34,21,10,PERM60_ECL.INC,14475.29
24,41,10,30,PERM60_ECL.INC,14483.19
51,27,12,28,PERM60_ECL.INC,14491.98
48,24,46,37,PERM60_ECL.INC,14501.3
