X1,Y1,X2,Y2,Perm,COP
20,46,31,28,PERM60_ECL.INC,43728.48
1,29,12,21,PERM60_ECL.INC,43705.82
11,3,44,29,PERM60_ECL.INC,38581.92
20,49,20,50,PERM60_ECL.INC,30368.53
49,8,44,23,PERM60_ECL.INC,35168.23
32,5,18,9,PERM60_ECL.INC,43729.58
30,24,47,11,PERM60_ECL.INC,43520.09
25,12,7,55,PERM60_ECL.INC,43672.66
32,17,26,14,PERM60_ECL.INC,41079.8
49,24,33,33,PERM60_ECL.INC,43750.1
48,27,9,18,PERM60_ECL.INC,43740.42
40,46,33,21,PERM60_ECL.INC,43723.8
38,38,36,5,PERM60_ECL.INC,43712.92
12,34,2,22,PERM60_ECL.INC,43714.53
16,25,33,29,PERM60_ECL.INC,43716.62
3,39,49,5,PERM60_ECL.INC,42014.79
21,30,15,5,PERM60_ECL.INC,43390.53
19,45,9,45,PERM60_ECL.INC,43745.8
50,15,21,54,PERM60_ECL.INC,39986.66
15,26,37,12,PERM60_ECL.INC,43619.13
18,54,9,32,PERM60_ECL.INC,43719.42
43,5,10,26,PERM60_ECL.INC,43139.47
39,29,33,10,PERM60_ECL.INC,43718.31
29,27,33,22,PERM60_ECL.INC,42837.36
40,25,47,19,PERM60_ECL.INC,43649.9
41,8,18,46,PERM60_ECL.INC,43710.02
7,39,5,39,PERM60_ECL.INC,33316.5
29,52,43,5,PERM60_ECL.INC,42991.82
40,3,37,45,PERM60_ECL.INC,43722.97
21,52,39,8,PERM60_ECL.INC,43727.83
4,30,30,20,PERM60_ECL.INC,43710.64
20,22,20,22,PERM60_ECL.INC,29240.09
40,41,28,6,PERM60_ECL.INC,43721.38
8,15,10,44,PERM60_ECL.INC,43725.44
19,44,5,34,PERM60_ECL.INC,43743.66
6,30,39,31,PERM60_ECL.INC,43713.82
24,20,6,57,PERM60_ECL.INC,43742.28
21,19,35,4,PERM60_ECL.INC,43664.41
39,17,24,24,PERM60_ECL.INC,43745.67
38,26,12,36,PERM60_ECL.INC,43595.4
55,4,31,29,PERM60_ECL.INC,34290.26
3,53,46,37,PERM60_ECL.INC,42979.91
45,4,23,35,PERM60_ECL.INC,41619.19
4,53,20,47,PERM60_ECL.INC,43706.84
52,14,34,36,PERM60_ECL.INC,36507.17
35,26,13,46,PERM60_ECL.INC,43722.41
39,5,5,40,PERM60_ECL.INC,43727.65
15,50,15,26,PERM60_ECL.INC,42776.53
12,36,39,0,PERM60_ECL.INC,39943.33
11,15,6,39,PERM60_ECL.INC,43717.56
1,30,7,22,PERM60_ECL.INC,43702.98
17,2,38,34,PERM60_ECL.INC,43728.2
36,45,5,32,PERM60_ECL.INC,43734.34
8,16,30,21,PERM60_ECL.INC,43724.43
49,7,12,28,PERM60_ECL.INC,35443.5
33,51,16,2,PERM60_ECL.INC,38552.52
25,20,43,40,PERM60_ECL.INC,43750.14
53,3,29,48,PERM60_ECL.INC,35719.84
35,42,12,9,PERM60_ECL.INC,43737.34
45,11,46,32,PERM60_ECL.INC,41794.73
23,15,14,31,PERM60_ECL.INC,43528
42,35,29,43,PERM60_ECL.INC,43719.01
46,33,41,10,PERM60_ECL.INC,42228.29
39,45,47,32,PERM60_ECL.INC,43730.46
47,36,8,50,PERM60_ECL.INC,43541.09
53,14,26,37,PERM60_ECL.INC,35115.98
21,5,6,23,PERM60_ECL.INC,43715.29
19,32,31,1,PERM60_ECL.INC,43468.08
27,32,34,8,PERM60_ECL.INC,43737.52
26,41,34,26,PERM60_ECL.INC,43728.57
24,10,23,18,PERM60_ECL.INC,41693.47
9,59,23,43,PERM60_ECL.INC,43721.48
37,46,25,6,PERM60_ECL.INC,43724.12
23,48,2,37,PERM60_ECL.INC,43724.19
5,56,14,14,PERM60_ECL.INC,43697.35
15,24,8,26,PERM60_ECL.INC,43714.11
15,47,9,4,PERM60_ECL.INC,29124.24
47,13,40,26,PERM60_ECL.INC,42240.16
11,22,59,4,PERM60_ECL.INC,29112
13,25,31,49,PERM60_ECL.INC,43711.48
57,4,43,9,PERM60_ECL.INC,35976.98
38,30,26,40,PERM60_ECL.INC,43709.3
42,4,32,18,PERM60_ECL.INC,43703.89
6,46,41,12,PERM60_ECL.INC,43714.15
35,35,6,55,PERM60_ECL.INC,43580.75
36,2,32,51,PERM60_ECL.INC,42000.96
32,48,41,35,PERM60_ECL.INC,43719.59
40,8,56,17,PERM60_ECL.INC,42234.52
9,26,4,48,PERM60_ECL.INC,43723.89
42,7,1,30,PERM60_ECL.INC,43132.11
30,9,37,36,PERM60_ECL.INC,43720.37
51,15,7,46,PERM60_ECL.INC,39169.34
4,24,13,42,PERM60_ECL.INC,43723.32
23,43,28,6,PERM60_ECL.INC,43717.03
29,31,55,17,PERM60_ECL.INC,42649.65
29,37,15,28,PERM60_ECL.INC,42644.31
6,53,16,52,PERM60_ECL.INC,43570.48
25,20,5,11,PERM60_ECL.INC,43751.12
3,39,19,14,PERM60_ECL.INC,43621.73
50,4,40,39,PERM60_ECL.INC,37585.81
39,24,26,26,PERM60_ECL.INC,43685.62
32,2,21,7,PERM60_ECL.INC,43723.84
16,43,10,56,PERM60_ECL.INC,43744.21
45,5,25,27,PERM60_ECL.INC,41239.61
11,46,48,20,PERM60_ECL.INC,43673.53
49,5,24,12,PERM60_ECL.INC,37706.48
16,36,17,20,PERM60_ECL.INC,43703.13
50,9,26,19,PERM60_ECL.INC,34234.61
35,28,32,47,PERM60_ECL.INC,43659.96
11,50,17,30,PERM60_ECL.INC,40096.31
33,35,21,9,PERM60_ECL.INC,43722.94
10,38,8,12,PERM60_ECL.INC,43739.16
15,20,30,16,PERM60_ECL.INC,43712.64
20,30,13,43,PERM60_ECL.INC,43692.94
6,24,31,31,PERM60_ECL.INC,43736.89
10,16,7,45,PERM60_ECL.INC,43719.44
21,8,3,54,PERM60_ECL.INC,43727.77
13,7,37,43,PERM60_ECL.INC,43720.9
47,9,25,48,PERM60_ECL.INC,39608.57
32,38,44,30,PERM60_ECL.INC,43737.53
16,50,37,35,PERM60_ECL.INC,42597.68
20,5,18,50,PERM60_ECL.INC,43728.76
19,40,37,37,PERM60_ECL.INC,43723.95
12,56,40,5,PERM60_ECL.INC,43385.02
4,38,27,22,PERM60_ECL.INC,43711.94
22,7,26,5,PERM60_ECL.INC,39198.96
3,15,14,31,PERM60_ECL.INC,43703.8
7,48,28,20,PERM60_ECL.INC,43214.71
17,48,34,4,PERM60_ECL.INC,43617.1
26,53,55,5,PERM60_ECL.INC,37912.78
16,6,53,22,PERM60_ECL.INC,42787.9
39,22,45,13,PERM60_ECL.INC,43626.39
21,49,25,13,PERM60_ECL.INC,43728.94
4,33,4,36,PERM60_ECL.INC,37137.61
13,52,23,7,PERM60_ECL.INC,43726.04
29,40,35,47,PERM60_ECL.INC,43684.11
30,8,19,52,PERM60_ECL.INC,43726.08
41,23,9,12,PERM60_ECL.INC,43727.26
7,16,45,31,PERM60_ECL.INC,43718.82
0,27,8,58,PERM60_ECL.INC,42829.9
13,31,31,30,PERM60_ECL.INC,43712.86
31,9,29,39,PERM60_ECL.INC,43727.26
37,21,16,55,PERM60_ECL.INC,43726.36
45,37,11,5,PERM60_ECL.INC,43539.74
38,13,53,5,PERM60_ECL.INC,43468.05
37,9,52,9,PERM60_ECL.INC,43725.4
43,40,10,17,PERM60_ECL.INC,43719.1
8,20,15,37,PERM60_ECL.INC,43637.55
45,9,23,22,PERM60_ECL.INC,41332.89
44,33,11,7,PERM60_ECL.INC,43714.59
33,32,46,23,PERM60_ECL.INC,43722.37
3,43,37,47,PERM60_ECL.INC,43728.43
27,0,15,53,PERM60_ECL.INC,43733.83
55,23,2,33,PERM60_ECL.INC,43703.96
25,18,12,55,PERM60_ECL.INC,43745.34
3,16,49,17,PERM60_ECL.INC,43512.86
28,21,11,17,PERM60_ECL.INC,43723.02
31,7,59,9,PERM60_ECL.INC,37531.77
17,27,4,23,PERM60_ECL.INC,43712.11
21,7,50,13,PERM60_ECL.INC,43643.64
26,44,14,8,PERM60_ECL.INC,43718.64
15,44,33,35,PERM60_ECL.INC,43740.81
2,43,8,37,PERM60_ECL.INC,42808.5
39,47,56,8,PERM60_ECL.INC,32946.32
8,45,3,49,PERM60_ECL.INC,41648.33
27,23,48,33,PERM60_ECL.INC,43458.96
11,16,17,47,PERM60_ECL.INC,43714.83
54,4,27,50,PERM60_ECL.INC,34201.57
2,21,10,8,PERM60_ECL.INC,43713.85
24,26,31,45,PERM60_ECL.INC,43730.03
15,18,40,33,PERM60_ECL.INC,43702.31
33,45,33,1,PERM60_ECL.INC,43325.19
50,28,1,18,PERM60_ECL.INC,29133.85
34,9,9,16,PERM60_ECL.INC,43709.88
47,34,28,28,PERM60_ECL.INC,43547.41
38,2,18,30,PERM60_ECL.INC,36137.97
20,40,35,24,PERM60_ECL.INC,43734.57
38,17,5,14,PERM60_ECL.INC,43742.02
31,35,31,24,PERM60_ECL.INC,43725.69
7,28,2,17,PERM60_ECL.INC,42514.88
3,18,33,7,PERM60_ECL.INC,43686.12
50,28,1,25,PERM60_ECL.INC,43745.1
20,12,49,35,PERM60_ECL.INC,42936.76
